Label,ID,Count of Links,Entity Short Form,Tags,Type,SubType,OrgClass,OrgSubType,Portfolio,EntityToType (from Connections - Entity To),EntityFromType (from Connections - Entity From),URL,Source of Entry,Contributor - Private,Connection Notes,Admin Flag,Admin Notes,Data Provider,Possible Duplicate,Record Status,Attachments,DataSize,Climate Size,Not4DERD,Has Data Strategy?,Count (Tags),Last Modified By,Last Modified,Created,Connections - Entity From,Connections - Entity To,To ID,From ID,Count (Connections - Entity From),Count (Connections - Entity To),Entity To Tags (from Connections - Entity To),Entity From Tags (from Connections - Entity From),URL 2,Image,French Entity Full Name,Entity Type FR (from Type),Entity sub-type FR (from SubType),French Short Form,FrenchOrgClassName (from OrgClass 2),French URL,FrenchAvail?,Add new entity form text,Entity Lookup,Form Section - finished required,Comments Test,Suggested Tags,Contacts,DigitalTalentSize,Entity To (from Connections - Entity From),Entity From (from Connections - Entity To),ID Text,Entity Type Eng (from Type),Entity sub-type (from SubType),Name (from OrgClass),Name (from Portfolio),Name (from Tags)
Agri-Environmental Indicator (AEI) - Risk of Water Erosion on Cultivated Land - 2011,4287,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/828e2f24-c845-472a-b990-6bd8dfe963c2,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4081, 4082, 4083","4081, 4082, 4083",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4287,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Agri-Environmental Indicator (AEI) - Risk of Wind Erosion on Cultivated Land - 2011,4288,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/c6fcba04-d520-49f5-b00d-54aafac46a83,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4084, 4085, 4086","4084, 4085, 4086",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4288,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Agri-Environmental Indicator (AEI) - Soil Organic Carbon Degradation - 2011,4289,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/3da8d43c-83a4-436f-abbd-d370a953b187,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4087, 4088, 4089","4087, 4088, 4089",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4289,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Agri-Environmental Indicator (AEI) – Fertilizer Emissions from Agriculture - 2011,4290,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/5fec775d-7c91-4ab5-bb63-6db4627e52a0,From OPEN DATA and From FGP,,,,,Agriculture and Agri-Food Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4054, 4055, 4056","4054, 4055, 4056",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Agriculture and Agri-Food Canada (AAFC), Federal Geospatial Platform, Open Data Portal",4290,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Ammonia emissions by facility -  Canada,4291,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/686a92e4-f9c5-4901-a4ba-40c601aec32e,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5106, 5143","5106, 5143",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4291,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Carbon monoxide emissions by facility -  Canada,4292,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/10fe5551-bc87-488f-9c3d-8da28c727044,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5107, 5144","5107, 5144",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4292,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Fine particulate matter emissions by facility -  Canada,4293,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/f6660f68-5e78-47b3-9306-9805e1d3d6e9,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5108, 5145","5108, 5145",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4293,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Nitrogen oxide emissions by facility -  Canada,4294,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/fd4573c5-1d38-448c-8761-cdfcb3c5695b,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5109, 5146","5109, 5146",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4294,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Respirable particulate matter emissions by facility -  Canada,4295,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/f7b42d5c-40b7-4b82-9b24-8d2011b9eef5,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5110, 5147","5110, 5147",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4295,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Sulphur oxide emissions by facility -  Canada,4296,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/f4fb2aee-2d1b-4c75-aea1-2a7760cc4b58,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5111, 5148","5111, 5148",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4296,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Total particulate matter emissions by facility -  Canada,4297,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/2606b1b4-c895-4d23-b466-ad3d64b6381e,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5112, 5149","5112, 5149",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4297,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air pollutant emissions – Volatile organic compound emissions by facility -  Canada,4298,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/aed50dbf-aa22-40e3-b500-b4f972f3cace,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5113, 5150","5113, 5150",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4298,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air quality – Ambient volatile organic compound concentrations at monitoring stations -  Canada,4299,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/7c8a7b95-9877-4c31-a78e-716e680a1806,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5114, 5151","5114, 5151",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4299,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air quality – Average ambient fine particulate matter concentrations at monitoring stations -  Canada,4300,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/e6cc3ae2-92b1-4df6-87ff-698a1cd5a7bd,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5115, 5152","5115, 5152",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4300,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air quality – Average ambient nitrogen dioxide concentrations at monitoring stations - Canada,4301,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/c63ee09d-dc19-46d7-b8f4-0494e15c62b4,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5116, 5153","5116, 5153",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4301,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air quality – Average ambient ozone concentrations at monitoring stations -  Canada,4302,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/317a24db-49c2-4b0d-bdfd-4de1334fae76,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5117, 5154","5117, 5154",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4302,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air quality – Average ambient sulphur dioxide concentrations at monitoring stations -  Canada,4303,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/5f1b78ab-999a-41f0-82e9-351d236010ca,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5118, 5155","5118, 5155",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4303,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air Quality – Peak ambient fine particulate matter concentrations at monitoring stations - Canada,4304,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/881a606b-69e0-473f-841d-aec9e2815e58,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5119, 5156","5119, 5156",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4304,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air quality – Peak ambient nitrogen dioxide concentrations at monitoring stations - Canada,4305,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/18810159-488e-4de4-b5ed-9e4e68d9a874,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5120, 5157","5120, 5157",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4305,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air Quality – Peak ambient ozone concentrations at monitoring stations - Canada,4306,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/7796058d-507f-4b6d-b169-8c6af60c5916,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5121, 5158","5121, 5158",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4306,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Air quality – Peak ambient sulphur dioxide concentrations at monitoring stations -  Canada,4307,2,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/69801f21-d91c-44af-9097-30a5a3ba2712,From OPEN DATA and From FGP,,,,,Environment and Climate Change Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"5122, 5159","5122, 5159",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Open Data Portal, Federal Geospatial Platform",4307,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Annual area burned by large fires (>200 hectares) - Long-term (2071-2100) under RCP 2.6,4308,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/2d28cce2-5a68-40bd-aa1d-3b6c1520ca81,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4141, 4142, 4143","4141, 4142, 4143",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4308,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Annual area burned by large fires (>200 hectares) - Long-term (2071-2100) under RCP 8.5,4309,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/f5c63b7b-7d05-49df-907a-910d178466d9,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4144, 4145, 4146","4144, 4145, 4146",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4309,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Annual area burned by large fires (>200 hectares) - Medium-term (2041-2070) under RCP 8.5,4310,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/f2997015-1cd7-4407-b58d-1bfcbb4a8290,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4147, 4148, 4149","4147, 4148, 4149",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4310,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Annual area burned by large fires (>200 hectares) - Reference Period (1981-2010),4311,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/147db6a1-84a5-46fa-aa47-5305cbaa210d,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4150, 4151, 4152","4150, 4151, 4152",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4311,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Annual area burned by large fires (>200 hectares) - Short-term (2011-2040) under RCP 8.5,4312,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/848275de-bd08-4937-b8dd-f666e575b775,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4153, 4154, 4155","4153, 4154, 4155",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4312,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Annual area burned by large fires (>200 hectares) across Canada,4313,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/779f9b2d-d010-4ddc-b3b3-57a9ac7631b2,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4156, 4157, 4158","4156, 4157, 4158",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4313,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Annual Solar Radiation 1971-2000,4314,2,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/2101b8fe-9b28-4a7d-91f2-dd22fd7082be,From OPEN DATA and From FGP,,,,,Alberta Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4159, 4161","4159, 4161",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, Open Data Portal",4314,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
Annual Total Precipitation 1971-2000,4315,2,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/3fad86e2-2a36-406d-a08a-bff5f3083fa6,From OPEN DATA and From FGP,,,,,Alberta Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4162, 4164","4162, 4164",,2,0,"Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, Open Data Portal",4315,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
Argo Canada,4316,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/91b0c61a-85cf-487c-8389-0baf4bb6d8f9,From OPEN DATA and From FGP,,,,,Fisheries and Oceans Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4165, 4166, 4167","4165, 4166, 4167",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Fisheries and Oceans Canada (DFO), Open Data Portal",4316,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Atlas of Canada National Scale Data – Annual Minimum Snow and Ice (MSI) Extent Time Series,4317,3,,"Climate, Geospatial",Dataset,Geospatial,Government of Canada,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/93d94cac-05d2-4ea0-82e1-3ff8500ebf93,From OPEN DATA and From FGP,,,,,Natural Resources Canada,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4168, 4169, 4170","4168, 4169, 4170",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,Gouvernement du Canada,,,,,,,,,,,"Federal Geospatial Platform, Natural Resources Canada (NRCan), Open Data Portal",4317,Dataset,Geospatial,Government of Canada,,"Climate, Geospatial"
Automated Snow Weather Station Locations,4318,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/ebe546aa-ac34-491c-a828-fdc87fb70610,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4171, 4172, 4173","4171, 4172, 4173",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4318,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
Average ambient fine particulate matter concentrations at monitoring stations,4319,1,,"Climate, Geospatial",Dataset,Web Map Services,Government of Canada,,,Dataset,,https://maps-cartes.ec.gc.ca/arcgis/rest/services/CESI/MapServer/26,From FGP,,,,Supports OSDP Air Map,,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,4174,4174,,1,0,"Climate, Geospatial",,,,,Ensemble de données,Services de cartes Web,,Gouvernement du Canada,,,,,,,,,,,Federal Geospatial Platform,4319,Dataset,Web Map Services,Government of Canada,,"Climate, Geospatial"
BC Greenhouse Gas Emissions Individual Facility Locations,4320,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/ce0643b1-daa2-457f-ae28-29bbac98f10f,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4175, 4176, 4177","4175, 4176, 4177",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4320,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
BC Indigenous Business Listings,4321,3,,"Geospatial, Indigenous",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/bdc81d33-1ab5-4882-9764-8701e8971bb7,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4178, 4179, 4180","4178, 4179, 4180",,3,0,"Geospatial, Indigenous, Geospatial, Indigenous, Geospatial, Indigenous",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4321,Dataset,Geospatial,PT+ FN,,"Geospatial, Indigenous"
BEC Map,4322,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/f358a53b-ffde-4830-a325-a5a03ff672c3,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4181, 4182, 4183","4181, 4182, 4183",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4322,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
BEC Map - Attribute Catalogue,4323,3,,"Climate, Geospatial",Dataset,Geospatial,PT+ FN,,,"Dataset, Dataset, Dataset",,https://gcgeo.gc.ca/geonetwork/metadata/eng/fda19189-6cb4-4712-992f-500acadae749,From OPEN DATA and From FGP,,,,,British Columbia Government ,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,2/11/2022,,"4184, 4185, 4186","4184, 4185, 4186",,3,0,"Climate, Geospatial, Climate, Geospatial, Climate, Geospatial",,,,,Ensemble de données,Géospatial,,,,,,,,,,,,,"Federal Geospatial Platform, British Columbia Government, Open Data Portal",4323,Dataset,Geospatial,PT+ FN,,"Climate, Geospatial"
